Optimization,Result
-scev-aa -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -deadargelim -dse -globalopt -gvn -indvars, secure
-codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim -dse -globalopt -gvn -indvars, secure
-constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim -dse -globalopt -gvn -indvars, secure
-dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce -deadargelim -dse -globalopt -gvn -indvars, secure
-globaldce -globalopt -gvn -indvars, secure
-scev-aa -globaldce -globalopt -gvn -indvars, secure
-adce -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -globaldce -globalopt -gvn -indvars, secure
-always-inline -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -globaldce -globalopt -gvn -indvars, secure
-argpromotion -globaldce -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -globaldce -globalopt -gvn -indvars, secure
-adce -argpromotion -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -globaldce -globalopt -gvn -indvars, secure
-always-inline -argpromotion -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -globaldce -globalopt -gvn -indvars, secure
-break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-adce -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -globaldce -globalopt -gvn -indvars, secure
-codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-always-inline -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-always-inline -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-always-inline -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -always-inline -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-adce -argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -globaldce -globalopt -gvn -indvars, secure
