Optimization,Result
-scev-aa -adce -break-crit-edges -constmerge -dce, secure
-always-inline -break-crit-edges -constmerge -dce, secure
-scev-aa -always-inline -break-crit-edges -constmerge -dce, secure
-adce -always-inline -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -dce, secure
-argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -dce, secure
-adce -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -dce, secure
-always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -dce, secure
-codegenprepare -constmerge -dce, secure
-scev-aa -codegenprepare -constmerge -dce, secure
-adce -codegenprepare -constmerge -dce, secure
-scev-aa -adce -codegenprepare -constmerge -dce, secure
-always-inline -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -codegenprepare -constmerge -dce, secure
-adce -always-inline -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -dce, secure
-argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -argpromotion -codegenprepare -constmerge -dce, secure
-adce -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -dce, secure
-always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-deadargelim, secure
-scev-aa -deadargelim, secure
-adce -deadargelim, secure
-scev-aa -adce -deadargelim, secure
-always-inline -deadargelim, secure
-scev-aa -always-inline -deadargelim, secure
-adce -always-inline -deadargelim, secure
-scev-aa -adce -always-inline -deadargelim, secure
-argpromotion -deadargelim, secure
-scev-aa -argpromotion -deadargelim, secure
-adce -argpromotion -deadargelim, secure
-scev-aa -adce -argpromotion -deadargelim, secure
-always-inline -argpromotion -deadargelim, secure
-scev-aa -always-inline -argpromotion -deadargelim, secure
-adce -always-inline -argpromotion -deadargelim, secure
